articleId,blockIndex,blockType,rawText,cleanText,htmlFragment,sourceSelector,parseConfidence
5210752,0,paragraph,"여름 시즌만 되면 앞다투어 ‘프리미엄 빙수 대전’에 나섰던 호텔 업계가 올해는 여름철 메뉴를 대폭 개편, 다양성에 포커스를 맞추고 있는 추세다. 폭염과 삼복 더위, 장마로 지친 몸에 활력을 더하는 여름철 보양식 프로모션부터 제철 코어 콘셉트를 활용한 메뉴까지, 미식 경쟁에 뛰어든 호텔 브랜드별 대표적인 여름 메뉴를 살펴보자.","여름 시즌만 되면 앞다투어 ‘프리미엄 빙수 대전’에 나섰던 호텔 업계가 올해는 여름철 메뉴를 대폭 개편, 다양성에 포커스를 맞추고 있는 추세다. 폭염과 삼복 더위, 장마로 지친 몸에 활력을 더하는 여름철 보양식 프로모션부터 제철 코어 콘셉트를 활용한 메뉴까지, 미식 경쟁에 뛰어든 호텔 브랜드별 대표적인 여름 메뉴를 살펴보자.",,text_run(br_separated),0.6
5210752,1,paragraph,"여행 비용 상승과 우선순위의 변화로, 올여름 휴가 계획에서 국내 여행 수요가 두드러지고 있다. 호텔스닷컴이 여행 수요와 여행객 양상을 분석한 트렌드 보고서 ‘언팩 ‘26 여름 에디션’에 따르면, 전 세계적으로 국내 휴가 여행 관련 소셜 미디어 언급량이 전년 대비 77% 증가했으며, 한국인 여행객의 경우 56%가 지난해 여름 대비 올여름 국내 여행지에 대한 관심이 더 커졌다고 답했다. 아직까지 여름 휴가 계획이 없다면, 한 번의 여행에서 여러 호텔을 머무는 ‘호텔 호핑’과 올해 여행 트렌드로 언급된 ‘미식 여행’이 결합된 제철 미식 여행을 주목해보자. 국내 호텔 브랜드와 지역 미식 공간이 선보인 특별한 여름 메뉴가 일상에 지친 당신을 다독일 것이다.","여행 비용 상승과 우선순위의 변화로, 올여름 휴가 계획에서 국내 여행 수요가 두드러지고 있다. 호텔스닷컴이 여행 수요와 여행객 양상을 분석한 트렌드 보고서 ‘언팩 ‘26 여름 에디션’에 따르면, 전 세계적으로 국내 휴가 여행 관련 소셜 미디어 언급량이 전년 대비 77% 증가했으며, 한국인 여행객의 경우 56%가 지난해 여름 대비 올여름 국내 여행지에 대한 관심이 더 커졌다고 답했다. 아직까지 여름 휴가 계획이 없다면, 한 번의 여행에서 여러 호텔을 머무는 ‘호텔 호핑’과 올해 여행 트렌드로 언급된 ‘미식 여행’이 결합된 제철 미식 여행을 주목해보자. 국내 호텔 브랜드와 지역 미식 공간이 선보인 특별한 여름 메뉴가 일상에 지친 당신을 다독일 것이다.",,text_run(br_separated),0.6
5210752,2,heading,#1 연이은 폭염 기록 … 여름 미식의 가치 더한 호텔 보양식,#1 연이은 폭염 기록 … 여름 미식의 가치 더한 호텔 보양식,"<strong><div style=""border-top: 4px solid #ed6d01;border-bottom: 1px solid #ed6d01;font-size: 18px;padding: 10px 0;margin:30px 0;"">#1 연이은 폭염 기록 … 여름 미식의 가치 더한 호텔 보양식</div></strong>",style*=border-top (heuristic),0.7
5210752,3,table,↑ 워커힐 호텔앤리조트 ‘명월관’의 ‘하절진미(夏節珍味)’,↑ 워커힐 호텔앤리조트 ‘명월관’의 ‘하절진미(夏節珍味)’,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""워커힐 호텔앤리조트 ‘명월관’의 ‘하절진미(夏節珍味)’"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/010068220716.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ 워커힐 호텔앤리조트 ‘명월관’의 ‘하절진미(夏節珍味)’</td></tr></tbody></table>",table,0.6
5210752,4,paragraph,"최근 ‘웰니스 트렌드’가 확산되며 보양식을 건강한 라이프스타일의 일부로 즐기는 소비자들이 늘어나는 가운데, 워커힐 호텔앤리조트는 전복, 해삼, 낙지, 장어, 한우 등 대표 보양 식재료를 활용한 웰니스 미식 프로모션을 마련했다. 먼저 △한우 숯불구이 전문점 ‘명월관’의 ‘하절진미(夏節珍味)’ 코스는 특선죽을 비롯해 해산물을 곁들인 한우 물 육회, 와규 홍삼 양념구이, 식사와 후식으로 구성했다. 또한 명월관의 시그니처 메뉴인 갈비탕에 전복, 산낙지, 수경삼을 더해 정성껏 끓여내 깊고 진한 풍미를 자랑하는 ‘삼삼탕(三蔘湯)’도 만나볼 수 있다. △중식당 ‘금룡’에서는 왕상진 조리장이 정성으로 완성한 ‘불도장’도 만나볼 수 있다. 해삼과 전복, 건관자 등 다양한 식재료를 활용한 메뉴로, 8시간 이상 우려낸 오골계 육수에 진귀한 식재료를 더해 오랜 시간 끓여낸 것이 특징이다.","최근 ‘웰니스 트렌드’가 확산되며 보양식을 건강한 라이프스타일의 일부로 즐기는 소비자들이 늘어나는 가운데, 워커힐 호텔앤리조트는 전복, 해삼, 낙지, 장어, 한우 등 대표 보양 식재료를 활용한 웰니스 미식 프로모션을 마련했다. 먼저 △한우 숯불구이 전문점 ‘명월관’의 ‘하절진미(夏節珍味)’ 코스는 특선죽을 비롯해 해산물을 곁들인 한우 물 육회, 와규 홍삼 양념구이, 식사와 후식으로 구성했다. 또한 명월관의 시그니처 메뉴인 갈비탕에 전복, 산낙지, 수경삼을 더해 정성껏 끓여내 깊고 진한 풍미를 자랑하는 ‘삼삼탕(三蔘湯)’도 만나볼 수 있다. △중식당 ‘금룡’에서는 왕상진 조리장이 정성으로 완성한 ‘불도장’도 만나볼 수 있다. 해삼과 전복, 건관자 등 다양한 식재료를 활용한 메뉴로, 8시간 이상 우려낸 오골계 육수에 진귀한 식재료를 더해 오랜 시간 끓여낸 것이 특징이다.",,text_run(br_separated),0.6
5210752,5,table,↑ 조선 팰리스 서울 강남 ‘오향장우육’,↑ 조선 팰리스 서울 강남 ‘오향장우육’,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""조선 팰리스 서울 강남 ‘오향장우육’"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/028084280116.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ 조선 팰리스 서울 강남 ‘오향장우육’</td></tr></tbody></table>",table,0.6
5210752,6,paragraph,"조선 팰리스 서울 강남의 파인 차이니스 레스토랑 ‘더 그레이트 홍연’에서 무더운 여름, 정제된 광동식 미학을 담은 메뉴를 제안한다. 런치 코스로 제공되는 △‘선(選)’은 한우 아롱사태 오향장우육을 시작으로 홍소 해산물 수프, 춘권과 구운 딤섬, 깐풍소스 민물장어, 그리고 식사로 백짬뽕 또는 차슈 바비큐 볶음밥이 제공된다. 디너 코스인 △‘유(有)’는 3미 전채를 시작으로 크리스피 홍미 바닷가재 창펀, 홍소소스 제비집 동해산 해삼 두부 찜, 라조 해산물 볶음, 깐풍소스 민물장어와 팔진 기스면 또는 부용 게살소스와 볶음밥을 선택할 수 있다.","조선 팰리스 서울 강남의 파인 차이니스 레스토랑 ‘더 그레이트 홍연’에서 무더운 여름, 정제된 광동식 미학을 담은 메뉴를 제안한다. 런치 코스로 제공되는 △‘선(選)’은 한우 아롱사태 오향장우육을 시작으로 홍소 해산물 수프, 춘권과 구운 딤섬, 깐풍소스 민물장어, 그리고 식사로 백짬뽕 또는 차슈 바비큐 볶음밥이 제공된다. 디너 코스인 △‘유(有)’는 3미 전채를 시작으로 크리스피 홍미 바닷가재 창펀, 홍소소스 제비집 동해산 해삼 두부 찜, 라조 해산물 볶음, 깐풍소스 민물장어와 팔진 기스면 또는 부용 게살소스와 볶음밥을 선택할 수 있다.",,text_run(br_separated),0.6
5210752,7,table,↑ (사진 중앙) 웨스틴 서울 파르나스 ‘온테이블’의 프리미엄 보양 메뉴 ‘해신탕’,↑ (사진 중앙) 웨스틴 서울 파르나스 ‘온테이블’의 프리미엄 보양 메뉴 ‘해신탕’,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""(사진 중앙) 웨스틴 서울 파르나스 ‘온테이블’의 프리미엄 보양 메뉴 ‘해신탕’"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/240806000800.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ (사진 중앙) 웨스틴 서울 파르나스 ‘온테이블’의 프리미엄 보양 메뉴 ‘해신탕’</td></tr></tbody></table>",table,0.6
5210752,8,paragraph,"올여름 역대급 폭염이 기승을 부리고 있다. 웨스틴 서울 파르나스에선 건강한 여름나기를 위한 보양식 뷔페 특선 메뉴를 선보인다. 8월 31일까지 웨스틴 서울 파르나스의 프리미엄 올데이 다이닝 레스토랑 ‘온:테이블(ON:TABLE)’에서는 자연산 민어, 장어, 농어 등 여름철 대표 식재료를 활용한 시즌 한정 보양 메뉴를 만나볼 수 있다. 특히 해신탕, 민물장어구이, 삼계탕 등 대표 보양식을 호텔 셰프들의 노하우로 재해석한 것이 특징. 영계와 갈비, 해삼, 전복, 능이버섯 등 육지와 바다의 귀한 식재료를 함께 넣고 푹 끓여낸 ‘황제 해신탕’을 선보이며, 이와 함께 바닷가재를 더해 감칠맛을 높인 ‘바닷가재 산라 수프’, 담백하게 삶아낸 닭고기를 새콤매콤하게 버무린 ‘이북식 닭무침’, 향긋한 수삼을 가볍게 버무린 ‘수삼 겉절이’ 등 지친 입맛을 깨워줄 다채로운 보양 메뉴를 준비했다.","올여름 역대급 폭염이 기승을 부리고 있다. 웨스틴 서울 파르나스에선 건강한 여름나기를 위한 보양식 뷔페 특선 메뉴를 선보인다. 8월 31일까지 웨스틴 서울 파르나스의 프리미엄 올데이 다이닝 레스토랑 ‘온:테이블(ON:TABLE)’에서는 자연산 민어, 장어, 농어 등 여름철 대표 식재료를 활용한 시즌 한정 보양 메뉴를 만나볼 수 있다. 특히 해신탕, 민물장어구이, 삼계탕 등 대표 보양식을 호텔 셰프들의 노하우로 재해석한 것이 특징. 영계와 갈비, 해삼, 전복, 능이버섯 등 육지와 바다의 귀한 식재료를 함께 넣고 푹 끓여낸 ‘황제 해신탕’을 선보이며, 이와 함께 바닷가재를 더해 감칠맛을 높인 ‘바닷가재 산라 수프’, 담백하게 삶아낸 닭고기를 새콤매콤하게 버무린 ‘이북식 닭무침’, 향긋한 수삼을 가볍게 버무린 ‘수삼 겉절이’ 등 지친 입맛을 깨워줄 다채로운 보양 메뉴를 준비했다.",,text_run(br_separated),0.6
5210752,9,table,↑ 안다즈 서울 강남 ‘조각보 키친’의 능이버섯 오골계 옻삼계탕,↑ 안다즈 서울 강남 ‘조각보 키친’의 능이버섯 오골계 옻삼계탕,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""안다즈 서울 강남 ‘조각보 키친’의 능이버섯 오골계 옻삼계탕"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/002060002040.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ 안다즈 서울 강남 ‘조각보 키친’의 능이버섯 오골계 옻삼계탕</td></tr></tbody></table>",table,0.6
5210752,10,paragraph,"호텔 안다즈 서울 강남의 한식 레스토랑 ‘조각보 키친’이 여름을 맞아 메뉴를 새롭게 개편했다. 디너 코스 ‘조각보 키친 시그니처 테이블’에서는 생선회와 문어 삼합부터 여름 보양에 제격인 능이버섯 오골계 옻삼계탕과 갈비 & 장어구이 등 고급 식재료를 아낌없이 활용한 구성을 선보인다. 특히 코스 중 하나인 ‘능이버섯 오골계 옻삼계탕’은 국내산 오골계와 새싹 인삼, 흑마늘 소금으로 요리한 메뉴다. 유기농 발아현미 찹쌀을 넣어 건강하고 든든하게 즐길 수 있으며, 단품으로도 판매된다. 이 밖에도 진솔원 장어구이와 민어 해물전골 등 다채로운 보양식 단품 메뉴가 준비되어 있다.","호텔 안다즈 서울 강남의 한식 레스토랑 ‘조각보 키친’이 여름을 맞아 메뉴를 새롭게 개편했다. 디너 코스 ‘조각보 키친 시그니처 테이블’에서는 생선회와 문어 삼합부터 여름 보양에 제격인 능이버섯 오골계 옻삼계탕과 갈비 & 장어구이 등 고급 식재료를 아낌없이 활용한 구성을 선보인다. 특히 코스 중 하나인 ‘능이버섯 오골계 옻삼계탕’은 국내산 오골계와 새싹 인삼, 흑마늘 소금으로 요리한 메뉴다. 유기농 발아현미 찹쌀을 넣어 건강하고 든든하게 즐길 수 있으며, 단품으로도 판매된다. 이 밖에도 진솔원 장어구이와 민어 해물전골 등 다채로운 보양식 단품 메뉴가 준비되어 있다.",,text_run(br_separated),0.6
5210752,11,heading,#2 제철 코어·트렌디한 식재료의 등장,#2 제철 코어·트렌디한 식재료의 등장,"<strong><div style=""border-top: 4px solid #ed6d01;border-bottom: 1px solid #ed6d01;font-size: 18px;padding: 10px 0;margin:30px 0;"">#2 제철 코어·트렌디한 식재료의 등장</div></strong>",style*=border-top (heuristic),0.7
5210752,12,table,↑ 파크 하얏트 서울의 ‘더 라운지’에서 선보인 제철 식재료와 프렌치 조리 기법을 접목한 컨템포러리 다이닝,↑ 파크 하얏트 서울의 ‘더 라운지’에서 선보인 제철 식재료와 프렌치 조리 기법을 접목한 컨템포러리 다이닝,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""파크 하얏트 서울의 ‘더 라운지’에서 선보인 제철 식재료와 프렌치 조리 기법을 접목한 컨템포러리 다이닝"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/001102020000.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ 파크 하얏트 서울의 ‘더 라운지’에서 선보인 제철 식재료와 프렌치 조리 기법을 접목한 컨템포러리 다이닝</td></tr></tbody></table>",table,0.6
5210752,13,paragraph,"제철 식재료에 프렌치 터치를 더한 현대적인 다이닝 공간을 찾는다면 이곳이 제격이다. 파크 하얏트 서울 호텔 최고층에 위치한 ‘더 라운지’에서는 ‘시그니처 런치 아틀리에 코스’를 통해 제철 식재료의 풍미를 담아낸다. 프렌치 타르타르 스타일로 재해석한 △한우 육회와 부각, 그리고 와플 형태의 바삭한 김치전과 랍스터와 향 오일로 마무리한 △랍스터 & 김치전으로 시작된다. 메인 메뉴로는 팬 시어링으로 구운 도미와 매콤한 생선뼈 육수를 브레이징한 △도미 조림, 진공 마리네이드와 수비드 기법으로 불고기의 맛을 세련되게 재해석한 △구운 한우 채끝, 홋카이도산 관자와 완도산 전복에 다층적인 소스 페어링을 더한 △관자 & 전복죽, 그리고 깊은 양념 맛에 프렌치식 채소 가니쉬로 마무리한 △갈비찜을 취향에 맞게 선택하여 즐길 수 있다. 8월 30일까지.","제철 식재료에 프렌치 터치를 더한 현대적인 다이닝 공간을 찾는다면 이곳이 제격이다. 파크 하얏트 서울 호텔 최고층에 위치한 ‘더 라운지’에서는 ‘시그니처 런치 아틀리에 코스’를 통해 제철 식재료의 풍미를 담아낸다. 프렌치 타르타르 스타일로 재해석한 △한우 육회와 부각, 그리고 와플 형태의 바삭한 김치전과 랍스터와 향 오일로 마무리한 △랍스터 & 김치전으로 시작된다. 메인 메뉴로는 팬 시어링으로 구운 도미와 매콤한 생선뼈 육수를 브레이징한 △도미 조림, 진공 마리네이드와 수비드 기법으로 불고기의 맛을 세련되게 재해석한 △구운 한우 채끝, 홋카이도산 관자와 완도산 전복에 다층적인 소스 페어링을 더한 △관자 & 전복죽, 그리고 깊은 양념 맛에 프렌치식 채소 가니쉬로 마무리한 △갈비찜을 취향에 맞게 선택하여 즐길 수 있다. 8월 30일까지.",,text_run(br_separated),0.6
5210752,14,table,"↑ (왼쪽부터)인스파이어 ‘호라이즌 라운지’의 망고 빙수, 우베 팥빙수","↑ (왼쪽부터)인스파이어 ‘호라이즌 라운지’의 망고 빙수, 우베 팥빙수","<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""(왼쪽부터)인스파이어 ‘호라이즌 라운지’의 망고 빙수, 우베 팥빙수"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/227016411160.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ (왼쪽부터)인스파이어 ‘호라이즌 라운지’의 망고 빙수, 우베 팥빙수</td></tr></tbody></table>",table,0.6
5210752,15,paragraph,"인스파이어의 메인 라운지인 ‘호라이즌 라운지’는 국내 디저트 시장의 새 트렌드로 부상한 식재료 ‘우베(Ube)’를 활용한 빙수와 디저트를 선보였다. 우베는 필리핀이 주산지인 구황작물로, 고소하면서도 은은한 단맛과 선명한 보랏빛 색감이 특징이다. 호라이즌 라운지에선 우베 마스카르포네 우유 얼음에 고소한 팥과 인절미, 솜사탕, 우베 치즈케이크를 올린 우베 팥빙수를 선보인다. 이 밖에도 ‘망고 빙수’와 호라이즌 라운지의 무드라이트 디자인을 본뜬 여름 시즌 한정 ‘망고 애프터눈 티 세트’와 함께 시원한 여름 애프터눈 티 경험이 가능하다. 호라이즌 라운지의 여름 메뉴는 9월 30일까지 선보인다.","인스파이어의 메인 라운지인 ‘호라이즌 라운지’는 국내 디저트 시장의 새 트렌드로 부상한 식재료 ‘우베(Ube)’를 활용한 빙수와 디저트를 선보였다. 우베는 필리핀이 주산지인 구황작물로, 고소하면서도 은은한 단맛과 선명한 보랏빛 색감이 특징이다. 호라이즌 라운지에선 우베 마스카르포네 우유 얼음에 고소한 팥과 인절미, 솜사탕, 우베 치즈케이크를 올린 우베 팥빙수를 선보인다. 이 밖에도 ‘망고 빙수’와 호라이즌 라운지의 무드라이트 디자인을 본뜬 여름 시즌 한정 ‘망고 애프터눈 티 세트’와 함께 시원한 여름 애프터눈 티 경험이 가능하다. 호라이즌 라운지의 여름 메뉴는 9월 30일까지 선보인다.",,text_run(br_separated),0.6
5210752,16,table,↑ 웨스틴 서울 파르나스 ‘시그니처 빙수 셀렉션’ 시그니처 티 토마토 빙수(왼쪽) 외 2종,↑ 웨스틴 서울 파르나스 ‘시그니처 빙수 셀렉션’ 시그니처 티 토마토 빙수(왼쪽) 외 2종,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""500""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""웨스틴 서울 파르나스 ‘시그니처 빙수 셀렉션’ 시그니처 티 토마토 빙수(왼쪽) 외 2종"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/210070004222.jpg"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""500""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ 웨스틴 서울 파르나스 ‘시그니처 빙수 셀렉션’ 시그니처 티 토마토 빙수(왼쪽) 외 2종</td></tr></tbody></table>",table,0.6
5210752,17,paragraph,"여름의 대표적인 제철코어 식재료 ‘토마토’ 열풍에 맞춰 웨스틴 서울 파르나스가 ‘시그니처 빙수 셀렉션’(‘수제 단팥 빙수’, ‘시그니처 티 토마토 빙수’, ‘제주 애플망고 빙수’)을 선보였다. 그중에서도 ‘시그니처 티 토마토 빙수’는 웨스틴 서울 파르나스 로비 라운지 & 바 ‘더 로그’의 시그니처 루이보스 티 ‘맑은 빛(Mellow)’을 8시간 동안 저온 냉침해 완성한 티 베이스를 마스카르포네 우유 얼음에 더해, 얼음 자체에 은은한 차의 풍미를 더했다. 여기에 유자청에 마리네이드한 컬러 방울토마토를 올려 싱그러운 산미를 극대화했다. 빙수 상단에는 잘 익은 토마토를 형상화한 무스 케이크와 수제 토마토 소스, 요거트 젤라또, 바질 소스를 함께 구성해 입체적인 풍미를 완성했다. 이번 시그니처 빙수 셀렉션에는 ‘조지젠슨’의 테이블웨어를 적용, 빙수 보울을 비롯해 트레이, 콘디먼트 보울, 플레이트, 커트러리까지 만나볼 수 있다. 9월 30일까지.","여름의 대표적인 제철코어 식재료 ‘토마토’ 열풍에 맞춰 웨스틴 서울 파르나스가 ‘시그니처 빙수 셀렉션’(‘수제 단팥 빙수’, ‘시그니처 티 토마토 빙수’, ‘제주 애플망고 빙수’)을 선보였다. 그중에서도 ‘시그니처 티 토마토 빙수’는 웨스틴 서울 파르나스 로비 라운지 & 바 ‘더 로그’의 시그니처 루이보스 티 ‘맑은 빛(Mellow)’을 8시간 동안 저온 냉침해 완성한 티 베이스를 마스카르포네 우유 얼음에 더해, 얼음 자체에 은은한 차의 풍미를 더했다. 여기에 유자청에 마리네이드한 컬러 방울토마토를 올려 싱그러운 산미를 극대화했다. 빙수 상단에는 잘 익은 토마토를 형상화한 무스 케이크와 수제 토마토 소스, 요거트 젤라또, 바질 소스를 함께 구성해 입체적인 풍미를 완성했다. 이번 시그니처 빙수 셀렉션에는 ‘조지젠슨’의 테이블웨어를 적용, 빙수 보울을 비롯해 트레이, 콘디먼트 보울, 플레이트, 커트러리까지 만나볼 수 있다. 9월 30일까지.",,text_run(br_separated),0.6
5210752,18,heading,제주·일본 근거리 여행에서 맛보는 스토리텔링 미식 체험,제주·일본 근거리 여행에서 맛보는 스토리텔링 미식 체험,"<strong><div style=""border-top: 4px solid #ed6d01;border-bottom: 1px solid #ed6d01;font-size: 18px;padding: 10px 0;margin:30px 0;"">제주·일본 근거리 여행에서 맛보는 스토리텔링 미식 체험</div></strong>",style*=border-top (heuristic),0.7
5210752,19,table,↑ 오이라세 계류 호텔 호시노 리조트 ‘오이라세 이끼볼 빙수’,↑ 오이라세 계류 호텔 호시노 리조트 ‘오이라세 이끼볼 빙수’,"<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:0 auto; clear:both; max-width: 100%"" width=""450""><tbody><tr><td align=""center"" style=""padding:10px 0 5px 0;""><img alt=""오이라세 계류 호텔 호시노 리조트 ‘오이라세 이끼볼 빙수’"" border=""0"" class=""lazy"" data-src=""//img.mbn.co.kr/filewww/news/other/2026/08/06/264846200100.jpg"" height=""300"" src=""//img.mbn.co.kr/newmbn/white.PNG"" width=""450""/></td></tr><tr><td style=""padding-bottom:10px; color:#666; line-height:17px; font-size:12px; font-family:'돋움';"">↑ 오이라세 계류 호텔 호시노 리조트 ‘오이라세 이끼볼 빙수’</td></tr></tbody></table>",table,0.6
5210752,20,paragraph,△,△,,text_run(br_separated),0.6
